Publisher Label,Publisher URI,RegistrationDate,Ethnicity,Nationality,Reason,Need,Age,DecisionDate,Decision,DecisionCode
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,04/02/2005 00:00:00,No Information Provided,Not Rec,eviction - parents,vulnerable - physical,21,05/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/02/2005 00:00:00,Black/BlkBrit: African,Not Rec,eviction - relatives,dependent children,51,05/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,11/03/2005 00:00:00,White: British,Not Rec,mortgage arrears,dependent children,22,05/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/04/2005 00:00:00,White: British,UK National,end tied accommodation,vulnerable - physical,65,05/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,11/02/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,end AST not arrears,dependent children,26,05/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/03/2003 00:00:00,No Information Provided,Not Rec,eviction - relatives,dependent children,67,05/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/04/2005 00:00:00,Black/BlkBrit: African,Not Rec,eviction - parents,dependent children,26,05/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,30/03/2005 00:00:00,White: British,Not Rec,emergency e.g. fire,dependent children,27,05/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,22/02/2005 00:00:00,No Information Provided,Not Rec,DV - partner,pregnant,22,06/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,10/03/2005 00:00:00,White: Other,Not Rec,DV - partner,dependent children,29,06/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,31/03/2005 00:00:00,Black/BlkBrit: African,Not Rec,eviction - parents,dependent children,30,06/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/04/2005 00:00:00,No Information Provided,Not Rec,end AST not arrears,no priority need,38,06/04/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/04/2005 00:00:00,No Information Provided,Not Rec,end AST not arrears,no priority need,38,06/04/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/04/2005 00:00:00,Asian/AsBrit: Other,Not Rec,end AST not arrears,dependent children,41,06/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,04/04/2005 00:00:00,White: Other,Not Rec,end tied accommodation,pregnant,23,06/04/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,31/03/2005 00:00:00,Asian/AsBrit: Other,Not Rec,eviction - relatives,vulnerable - old age,64,07/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/11/2004 00:00:00,White: British,Not Rec,eviction - parents,vulnerable - other,26,07/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,14/12/2004 00:00:00,Black/BlkBrit: Other,Not Rec,end NASS accommodation,vulnerable - physical,22,07/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/03/2005 00:00:00,White: British,Not Rec,eviction - parents,young person 16/17 yrs,16,08/04/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,09/02/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,end AST not arrears,dependent children,37,08/04/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,31/01/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,19,11/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,22/03/2005 00:00:00,Black/BlkBrit: African,Not Rec,eviction - friends,dependent children,32,11/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,20/09/2004 00:00:00,White: Other,Not Rec,eviction - relatives,dependent children,38,12/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,25/01/2005 00:00:00,White: British,Not Rec,eviction - relatives,dependent children,36,12/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,08/03/2005 00:00:00,White: British,Not Rec,eviction - parents,young person 16/17 yrs,16,12/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,08/04/2005 00:00:00,Black/BlkBrit: African,Not Rec,end AST not arrears,dependent children,44,12/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/04/2005 00:00:00,White: Other,Not Rec,eviction - friends,pregnant,24,12/04/2005 00:00:00,"not elig, other",5
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/04/2005 00:00:00,White: British,Not Rec,emergency e.g. fire,vulnerable - old age,87,12/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,31/03/2005 00:00:00,White: British,Not Rec,end AST not arrears,young person 16/17 yrs,16,12/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,04/11/2004 00:00:00,White: British,Not Rec,end AST not arrears,dependent children,28,12/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,28/02/2005 00:00:00,White: British,UK National,eviction - parents,pregnant,18,13/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,23/03/2005 00:00:00,Other,Not Rec,eviction - relatives,dependent children,29,13/04/2005 00:00:00,"not elig, other",5
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/04/2005 00:00:00,Asian/AsBrit: Other,Not Rec,end AST not arrears,dependent children,32,13/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,31/03/2005 00:00:00,Asian/AsBrit: Other,Not Rec,end AST not arrears,dependent children,30,14/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,22/03/2005 00:00:00,Asian/AsBrit: Other,Not Rec,end AST not arrears,vulnerable - physical,28,14/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/02/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,end AST not arrears,dependent children,45,14/04/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/04/2005 00:00:00,White: Other,Not Rec,relationshp brkdwn not DV,dependent children,23,14/04/2005 00:00:00,"not elig, other",5
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/04/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,eviction - parents,no priority need,35,14/04/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,14/12/2004 00:00:00,No Information Provided,Not Rec,eviction - friends,dependent children,39,15/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,25/02/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,rent arrears - private,young person 16/17 yrs,17,15/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,24/03/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,eviction - friends,dependent children,36,15/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,30/03/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,end NASS accommodation,dependent children,28,15/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/04/2005 00:00:00,White: British,Not Rec,DV - partner,dependent children,26,15/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,10/03/2005 00:00:00,White: British,Not Rec,eviction - parents,young person 16/17 yrs,17,15/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,24/03/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,other harassment,dependent children,44,15/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/02/2005 00:00:00,White: British,Not Rec,eviction - parents,young person 16/17 yrs,16,15/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/02/2005 00:00:00,Black/BlkBrit: African,Not Rec,eviction - friends,dependent children,30,15/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/03/2005 00:00:00,White: British,Not Rec,eviction - parents,pregnant,20,18/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/04/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,eviction - relatives,dependent children,46,18/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/04/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,24,18/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,02/02/2005 00:00:00,White: British,Not Rec,leaving hospital,vulnerable-mental illness,47,18/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/03/2005 00:00:00,White: British,Not Rec,eviction - parents,young person 16/17 yrs,17,18/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,18/04/2005 00:00:00,White: British,UK National,relationshp brkdwn not DV,vulnerable-mental illness,21,18/04/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,14/02/2005 00:00:00,Black/BlkBrit: African,Not Rec,end AST not arrears,dependent children,45,19/04/2005 00:00:00,"not elig, other",5
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/04/2005 00:00:00,White: Other,Not Rec,end AST not arrears,vulnerable-mental illness,21,20/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/04/2005 00:00:00,Black/BlkBrit: African,Not Rec,relationshp brkdwn not DV,dependent children,36,20/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/03/2005 00:00:00,White: British,Not Rec,eviction - parents,vulnerable - other,18,20/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/01/2005 00:00:00,White: British,Not Rec,sleeping rough,vulnerable - physical,34,20/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,13/04/2005 00:00:00,Mixed: Other,Not Rec,rent arrears - private,dependent children,45,20/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,31/03/2005 00:00:00,White: British,Not Rec,DV - partner,dependent children,21,20/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,27/01/2004 00:00:00,Black/BlkBrit: African,Not Rec,eviction - friends,dependent children,53,21/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,17/03/2005 00:00:00,White: British,Not Rec,DV - partner,domestic violence/ threat,50,21/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,21/03/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,21,21/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,08/04/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,24,21/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,02/03/2005 00:00:00,Black/BlkBrit: African,UK National,eviction - relatives,vulnerable-mental illness,22,21/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/04/2005 00:00:00,White: British,UK National,resident llord eviction,dependent children,38,21/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,04/04/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,19,22/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/04/2005 00:00:00,Asian/AsBrit: Other,Not Rec,end NASS accommodation,dependent children,42,22/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/04/2005 00:00:00,White: British,UK National,other harassment,vulnerable - physical,37,22/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,16/03/2005 00:00:00,Other,Not Rec,end AST not arrears,dependent children,47,22/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,21/04/2005 00:00:00,Black/BlkBrit: African,Not Rec,eviction - friends,pregnant,19,22/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/03/2005 00:00:00,White: British,Not Rec,mortgage arrears,vulnerable - physical,48,25/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,24/03/2005 00:00:00,White: Other,Not Rec,eviction - parents,pregnant,26,25/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/04/2005 00:00:00,Black/BlkBrit: African,Not Rec,end AST not arrears,dependent children,56,25/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,14/04/2005 00:00:00,White: British,Bulgaria,eviction - parents,dependent children,19,25/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/04/2005 00:00:00,White: British,Not Rec,other harassment,dependent children,38,25/04/2005 00:00:00,management transfer,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/04/2005 00:00:00,Black/BlkBrit: African,Not Rec,loss of rented - other,emergency-fire/flood etc,34,25/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,21/02/2005 00:00:00,White: British,Not Rec,eviction - parents,pregnant,17,26/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,16/03/2005 00:00:00,White: British,Not Rec,eviction - relatives,vulnerable - old age,16,26/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,13/04/2005 00:00:00,White: British,Not Rec,eviction - parents,pregnant,17,26/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,13/04/2005 00:00:00,White: British,Not Rec,eviction - relatives,vulnerable - other,22,26/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,03/03/2005 00:00:00,Mixed: White/Asian,Not Rec,rent arrears - private,vulnerable-mental illness,35,26/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,14/02/2005 00:00:00,Black/BlkBrit: African,Not Rec,end AST not arrears,vulnerable - physical,24,26/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,03/03/2005 00:00:00,Black/BlkBrit: African,UK National,end NASS accommodation,dependent children,34,26/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,23/03/2005 00:00:00,White: Other,Not Rec,DV - partner,no priority need,36,26/04/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,31/03/2005 00:00:00,White: Other,Not Rec,rent arrears - HA,pregnant,33,27/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,08/04/2005 00:00:00,White: British,Not Rec,resident llord eviction,vulnerable - physical,30,27/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/04/2005 00:00:00,White: British,Not Rec,DV - partner,dependent children,32,27/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/04/2005 00:00:00,Black/BlkBrit: African,Not Rec,other,dependent children,25,27/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,11/04/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,eviction - relatives,dependent children,25,27/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,21/04/2005 00:00:00,Black/BlkBrit: African,Not Rec,resident llord eviction,dependent children,28,27/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/04/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,resident llord eviction,dependent children,40,27/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,07/04/2005 00:00:00,White: British,Not Rec,eviction - relatives,vulnerable-mental illness,19,27/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,29/03/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,20,28/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/04/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,end AST not arrears,dependent children,36,28/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,04/04/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,leaving hospital,vulnerable - physical,27,28/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/04/2005 00:00:00,White: British,Not Rec,other harassment,dependent children,26,28/04/2005 00:00:00,management transfer,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/04/2005 00:00:00,White: British,Not Rec,eviction - parents,pregnant,21,28/04/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/03/2005 00:00:00,White: Other,Not Rec,leaving prison,dependent children,25,29/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,11/03/2005 00:00:00,No Information Provided,Not Rec,end NASS accommodation,dependent children,51,29/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,16/03/2005 00:00:00,Asian/AsBrit: Other,Not Rec,"unsuitable, unfit proprty",vulnerable - physical,71,29/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,28/04/2005 00:00:00,Asian/AsBrit: Indian,Not Rec,eviction - relatives,vulnerable - physical,50,29/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,27/01/2005 00:00:00,White: British,Not Rec,end AST not arrears,vulnerable - physical,46,29/04/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,17/03/2005 00:00:00,No Information Provided,Not Rec,racial harassment,vulnerable-mental illness,18,29/04/2005 00:00:00,management transfer,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,14/05/2003 00:00:00,Asian/AsBrit: Other,Not Rec,eviction - friends,vulnerable-mental illness,31,29/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,21/01/2005 00:00:00,White: Other,Not Rec,sleeping rough,vulnerable-mental illness,34,29/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,04/10/2004 00:00:00,White: British,Not Rec,eviction - parents,dependent children,22,03/05/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,29/03/2005 00:00:00,White: British,Not Rec,resident llord eviction,dependent children,29,03/05/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,25/04/2005 00:00:00,White: British,Not Rec,eviction - friends,no priority need,44,03/05/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/03/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,end AST not arrears,vulnerable - physical,43,03/05/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,19/04/2005 00:00:00,White: British,Not Rec,rent arrears - private,dependent children,52,03/05/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,21/04/2005 00:00:00,White: British,Not Rec,eviction - parents,pregnant,22,04/05/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,26/04/2005 00:00:00,White: Other,Not Rec,eviction - relatives,vulnerable - physical,39,04/05/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,20/04/2005 00:00:00,Black/BlkBrit: Caribbean,Not Rec,eviction - parents,young person 16/17 yrs,17,04/05/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,12/04/2005 00:00:00,White: British,UK National,eviction - parents,vulnerable-mental illness,35,04/05/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,20/04/2005 00:00:00,White: British,Not Rec,rent arrears - LA,vulnerable - physical,37,04/05/2005 00:00:00,no priority need,3
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,11/04/2005 00:00:00,Black/BlkBrit: African,UK National,end AST not arrears,dependent children,37,04/05/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,05/04/2005 00:00:00,White: British,Not Rec,eviction - parents,dependent children,20,05/05/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,22/04/2005 00:00:00,Black/BlkBrit: African,Not Rec,end NASS accommodation,pregnant,33,05/05/2005 00:00:00,section 198 out,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,28/04/2005 00:00:00,Other,Not Rec,end NASS accommodation,vulnerable-mental illness,34,06/05/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,18/04/2005 00:00:00,Black/BlkBrit: Other,Not Rec,eviction - friends,pregnant,22,09/05/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,23/03/2005 00:00:00,White: British,Not Rec,eviction - parents,young person 16/17 yrs,17,09/05/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,18/03/2005 00:00:00,White: British,Not Rec,end AST not arrears,vulnerable - physical,51,09/05/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,29/04/2005 00:00:00,White: British,Not Rec,eviction - relatives,care leaver under 21 yrs,20,09/05/2005 00:00:00,"not elig, other",5
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,22/02/2005 00:00:00,White: British,Not Rec,DV - partner,dependent children,30,10/05/2005 00:00:00,Not Homeless,4
